record-INDI	SLGC	{0:M}
record-FAM	SLGS	{0:M}
HEAD	SNOTE	{0:1}
record-FAM	SNOTE	{0:M}
record-INDI	SNOTE	{0:M}
record-OBJE	SNOTE	{0:M}
record-REPO	SNOTE	{0:M}
record-SOUR	SNOTE	{0:M}
record-SUBM	SNOTE	{0:M}
record-FAM	SOUR	{0:M}
record-INDI	SOUR	{0:M}
record-OBJE	SOUR	{0:M}
record-SNOTE	SOUR	{0:M}
HEAD	HEAD-SOUR	{0:1}
INDI-NAME	SPFX	{0:M}
NAME-TRAN	SPFX	{0:M}
record-INDI	SSN	{0:M}
ADDR	STAE	{0:1}
INDI-FAMC	FAMC-STAT	{0:1}
HEAD	SUBM	{0:1}
record-FAM	SUBM	{0:M}
record-INDI	SUBM	{0:M}
INDI-NAME	SURN	{0:M}
NAME-TRAN	SURN	{0:M}
SCHMA	TAG	{0:M}
record-SOUR	TEXT	{0:1}
SOUR-DATA	TEXT	{0:M}
DATE	TIME	{0:1}
DATE-exact	TIME	{0:1}
HEAD-DATE	TIME	{0:1}
SDATE	TIME	{0:1}
FILE	TITL	{0:1}
OBJE	TITL	{0:1}
record-SOUR	TITL	{0:1}
record-INDI	INDI-TITL	{0:M}
CROP	TOP	{0:1}
INDI-NAME	NAME-TRAN	{0:M}
PLAC	PLAC-TRAN	{0:M}
NOTE	NOTE-TRAN	{0:M}
record-SNOTE	NOTE-TRAN	{0:M}
FILE	FILE-TRAN	{0:M}
INDI-NAME	NAME-TYPE	{0:1}
EXID	EXID-TYPE	{0:1}
record-FAM	UID	{0:M}
record-INDI	UID	{0:M}
record-OBJE	UID	{0:M}
record-REPO	UID	{0:M}
record-SNOTE	UID	{0:M}
record-SOUR	UID	{0:M}
record-SUBM	UID	{0:M}
HEAD-SOUR	VERS	{0:1}
GEDC	GEDC-VERS	{1:1}
CROP	WIDTH	{0:1}
record-FAM	FAM-WIFE	{0:1}
record-INDI	WILL	{0:M}
record-FAM	REFN	{0:M}
record-INDI	REFN	{0:M}
record-OBJE	REFN	{0:M}
record-REPO	REFN	{0:M}
record-SNOTE	REFN	{0:M}
record-SOUR	REFN	{0:M}
record-SUBM	REFN	{0:M}
REFN	TYPE	{0:1}
ADDR	POST	{0:1}
record-INDI	PROB	{0:M}
record-INDI	PROP	{0:M}
record-SOUR	PUBL	{0:1}
SOUR	QUAY	{0:1}
record-SOUR	REPO	{0:M}
record-FAM	FAM-RESI	{0:M}
record-INDI	INDI-RESI	{0:M}
record-INDI	RETI	{0:M}
ASSO	ROLE	{1:1}
SOUR-EVEN	ROLE	{0:1}
HEAD-PLAC	HEAD-PLAC-FORM	{1:1}
record-FAM	CREA	{0:1}
record-INDI	DESI	{0:M}
BAPL	TEMP	{0:1}
BAPL	PLAC	{0:1}
BAPL	ord-STAT	{0:1}
BAPL	NOTE	{0:M}
BAPL	SOUR	{0:M}
BAPL	SNOTE	{0:M}
CONL	TEMP	{0:1}
CONL	PLAC	{0:1}
CONL	ord-STAT	{0:1}
CONL	NOTE	{0:M}
CONL	SOUR	{0:M}
CONL	SNOTE	{0:M}
ENDL	TEMP	{0:1}
ENDL	PLAC	{0:1}
ENDL	ord-STAT	{0:1}
ENDL	NOTE	{0:M}
ENDL	SOUR	{0:M}
ENDL	SNOTE	{0:M}
INIL	TEMP	{0:1}
INIL	PLAC	{0:1}
INIL	ord-STAT	{0:1}
INIL	NOTE	{0:M}
INIL	SOUR	{0:M}
INIL	SNOTE	{0:M}
SLGC	TEMP	{0:1}
SLGC	PLAC	{0:1}
SLGC	ord-STAT	{0:1}
SLGC	NOTE	{0:M}
SLGC	SOUR	{0:M}
SLGC	SNOTE	{0:M}
SLGS	TEMP	{0:1}
SLGS	PLAC	{0:1}
SLGS	ord-STAT	{0:1}
SLGS	NOTE	{0:M}
SLGS	SOUR	{0:M}
SLGS	SNOTE	{0:M}
